0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
1,2,4,5,6,8,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,76,78,79,80,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,100,101,102,103,104,105,106
2006-03-24,2007-03-21,2008-09-28,2009-07-13,2010-06-04,2012-05-22,2013-03-01,2013-09-29,2013-12-03,2014-01-06,2014-04-18,2014-07-14,2014-08-05,2014-09-07,2014-09-21,2015-01-10,2015-02-11,2015-04-14,2015-04-27,2015-06-28,2015-12-22,2016-01-17,2016-03-04,2016-04-08,2016-05-06,2016-05-27,2016-07-18,2016-08-14,2016-09-01,2017-01-14,2017-02-19,2017-03-16,2017-03-30,2017-05-01,2017-05-15,2017-06-03,2017-06-23,2017-06-25,2017-07-05,2017-08-14,2017-08-24,2017-09-07,2017-10-09,2017-10-11,2017-10-30,2017-12-15,2017-12-23,2018-01-08,2018-01-31,2018-03-06,2018-03-30,2018-04-02,2018-04-18,2018-05-11,2018-06-04,2018-06-29,2018-07-22,2018-07-25,2018-08-07,2018-09-10,2018-10-08,2018-11-15,2018-12-03,2018-12-05,2018-12-23,2019-01-11,2019-03-02,2019-05-04,2019-05-24,2019-06-12,2019-07-25,2019-08-06,2019-11-11,2019-12-05,2019-12-17,2020-01-07,2020-01-19,2020-01-29,2020-02-17,2020-03-07,2020-03-18,2020-04-22,2020-05-30,2020-06-04,2020-06-13,2020-06-30,2020-07-20,2020-08-18,2020-08-30,2020-09-03,2020-10-06,2020-10-18,2020-10-24,2020-11-05
Falcon 1,Falcon 1,Falcon 1,Falcon 1,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9,Falcon 9
20,,165,200,,525,677,500,3170,3325,2296,1316,4535,4428,2216,2395,570,1898,4707,2477,2034,553,5271,3136,4696,3100,2257,4600,5500,9600,2490,5600,5300,,6070,2708,3669,9600,6761,2910,475,4990,9600,5200,3700,2205,9600,,4230,6092,9600,2760,350,3750,5383.85,2410,7076,9600,5800,7060,2800,3000,4000,2573,4400,9600,12259,2482,13200,1425,2227.7,6500,15600,5000,6800,15600,,15600,15600,1977,15600,15600,9525,15600,15600,3880,,15600,1600,15600,15600,15600,15600,3681
LEO,LEO,LEO,LEO,LEO,LEO,ISS,PO,GTO,GTO,ISS,LEO,GTO,GTO,ISS,ISS,ES-L1,ISS,GTO,ISS,LEO,PO,GTO,ISS,GTO,GTO,ISS,GTO,GTO,PO,ISS,GTO,GTO,LEO,GTO,ISS,GTO,PO,GTO,ISS,SSO,LEO,PO,GTO,GTO,ISS,PO,LEO,GTO,GTO,PO,ISS,HEO,GTO,GTO,ISS,GTO,PO,GTO,GTO,SSO,GTO,SSO,ISS,MEO,PO,ISS,ISS,VLEO,SSO,ISS,GTO,VLEO,ISS,GTO,VLEO,SO,VLEO,VLEO,ISS,VLEO,VLEO,ISS,VLEO,VLEO,MEO,GEO,VLEO,SSO,VLEO,VLEO,VLEO,VLEO,MEO
Kwajalein Atoll,Kwajalein Atoll,Kwajalein Atoll,Kwajalein Atoll,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,VAFB SLC 4E,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,VAFB SLC 4E,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,VAFB SLC 4E,KSC LC 39A,KSC LC 39A,KSC LC 39A,KSC LC 39A,KSC LC 39A,KSC LC 39A,KSC LC 39A,VAFB SLC 4E,KSC LC 39A,KSC LC 39A,VAFB SLC 4E,KSC LC 39A,VAFB SLC 4E,KSC LC 39A,KSC LC 39A,CCSFS SLC 40,VAFB SLC 4E,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,VAFB SLC 4E,CCSFS SLC 40,CCSFS SLC 40,KSC LC 39A,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,VAFB SLC 4E,CCSFS SLC 40,CCSFS SLC 40,VAFB SLC 4E,KSC LC 39A,VAFB SLC 4E,CCSFS SLC 40,CCSFS SLC 40,VAFB SLC 4E,KSC LC 39A,CCSFS SLC 40,CCSFS SLC 40,VAFB SLC 4E,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,KSC LC 39A,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,KSC LC 39A,KSC LC 39A,KSC LC 39A,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,CCSFS SLC 40,KSC LC 39A,KSC LC 39A,KSC LC 39A,CCSFS SLC 40,CCSFS SLC 40
None None,None None,None None,None None,None None,None None,None None,False Ocean,None None,None None,True Ocean,True Ocean,None None,None None,False Ocean,False ASDS,True Ocean,False ASDS,None None,None ASDS,True RTLS,False ASDS,False ASDS,True ASDS,True ASDS,True ASDS,True RTLS,True ASDS,None ASDS,True ASDS,True RTLS,None None,True ASDS,True RTLS,None None,True RTLS,True ASDS,True ASDS,None None,True RTLS,True ASDS,True RTLS,True ASDS,True ASDS,True ASDS,True RTLS,True Ocean,True RTLS,True Ocean,None None,None None,None None,True ASDS,True ASDS,None None,None None,True ASDS,True ASDS,True ASDS,True ASDS,True RTLS,True ASDS,True ASDS,False RTLS,None None,True ASDS,True ASDS,True ASDS,True ASDS,True RTLS,True RTLS,None None,True ASDS,True ASDS,True ASDS,True ASDS,None None,True ASDS,False ASDS,True RTLS,False ASDS,True ASDS,True ASDS,True ASDS,True ASDS,True ASDS,True ASDS,True ASDS,True RTLS,True ASDS,True ASDS,True ASDS,True ASDS,True ASDS
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,3,1,1,2,1,1,3,2,2,3,4,1,3,4,4,3,4,2,5,4,1,5,3,1,2,6,4,2,3,6,3,1
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False
False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
,,,,,,,,,,,,,,,5e9e3032383ecb761634e7cb,,5e9e3032383ecb761634e7cb,,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb267a34e7c7,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb267a34e7c7,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb267a34e7c7,,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb267a34e7c7,,5e9e3032383ecb267a34e7c7,5e9e3032383ecb6bb234e7ca,5e9e3033383ecbb9e534e7cc,,5e9e3032383ecb267a34e7c7,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb267a34e7c7,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb267a34e7c7,,5e9e3032383ecb267a34e7c7,,,,,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,,,5e9e3032383ecb6bb234e7ca,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb554034e7c9,5e9e3032383ecb6bb234e7ca,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb267a34e7c7,,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb554034e7c9,5e9e3032383ecb267a34e7c7,,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb267a34e7c7,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb6bb234e7ca,5e9e3033383ecbb9e534e7cc,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb267a34e7c7,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3032383ecb6bb234e7ca,5e9e3033383ecbb9e534e7cc,5e9e3032383ecb6bb234e7ca
,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,4,3,4,4,3,4,3,3,4,3,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,3,1,1,2,4,3,9,4,2,3,0,0,9,12,3,9,12,3,2,4,5,3,9,3,12,3,5,4,12,13,9,5,12,13,9,5,12,13,12,12,8
Merlin1A,Merlin2A,Merlin2C,Merlin3C,B0003,B0005,B0007,B1003,B1004,B1005,B1006,B1007,B1008,B1011,B1010,B1012,B1013,B1015,B1016,B1018,B1019,B1017,B1020,B1021,B1022,B1023,B1025,B1026,B1028,B1029,B1031,B1030,B1021,B1032,B1034,B1035,B1029,B1036,B1037,B1039,B1038,B1040,B1041,B1031,B1042,B1035,B1036,B1043,B1032,B1044,B1041,B1039,B1045,B1046,B1040,B1045,B1047,B1048,B1046,B1049,B1048,B1047,B1046,B1050,B1054,B1049,B1051,B1056,B1049,B1051,B1056,B1047,B1048,B1059,B1056,B1049,B1046,B1051,B1056,B1059,B1048,B1051,B1058,B1049,B1059,B1060,B1058,B1049,B1059,B1060,B1058,B1051,B1060,B1062
167.7431292,167.7431292,167.7431292,167.7431292,-80.577366,-80.577366,-80.577366,-120.610829,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-120.610829,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-120.610829,-80.6039558,-80.6039558,-80.6039558,-80.6039558,-80.6039558,-80.6039558,-80.6039558,-120.610829,-80.6039558,-80.6039558,-120.610829,-80.6039558,-120.610829,-80.6039558,-80.6039558,-80.577366,-120.610829,-80.577366,-80.577366,-80.577366,-120.610829,-80.577366,-80.577366,-80.6039558,-80.577366,-80.577366,-80.577366,-120.610829,-80.577366,-80.577366,-120.610829,-80.6039558,-120.610829,-80.577366,-80.577366,-120.610829,-80.6039558,-80.577366,-80.577366,-120.610829,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.6039558,-80.577366,-80.577366,-80.577366,-80.6039558,-80.6039558,-80.6039558,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.577366,-80.6039558,-80.6039558,-80.6039558,-80.577366,-80.577366
9.0477206,9.0477206,9.0477206,9.0477206,28.5618571,28.5618571,28.5618571,34.632093,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,34.632093,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,34.632093,28.6080585,28.6080585,28.6080585,28.6080585,28.6080585,28.6080585,28.6080585,34.632093,28.6080585,28.6080585,34.632093,28.6080585,34.632093,28.6080585,28.6080585,28.5618571,34.632093,28.5618571,28.5618571,28.5618571,34.632093,28.5618571,28.5618571,28.6080585,28.5618571,28.5618571,28.5618571,34.632093,28.5618571,28.5618571,34.632093,28.6080585,34.632093,28.5618571,28.5618571,34.632093,28.6080585,28.5618571,28.5618571,34.632093,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.6080585,28.5618571,28.5618571,28.5618571,28.6080585,28.6080585,28.6080585,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.5618571,28.6080585,28.6080585,28.6080585,28.5618571,28.5618571
